probeset,ctrl_0,PBS_1,PBS_4,PBS_8,PBS_24,PBS_48,BMP2_1,BMP2_4,BMP2_8,BMP2_24,BMP2_48,IFNG_1,IFNG_4,IFNG_8,IFNG_24,IFNG_48,TGFB_1,TGFB_4,TGFB_8,TGFB_24,TGFB_48,HGF_1,HGF_4,HGF_8,HGF_24,HGF_48,OSM_1,OSM_4,OSM_8,OSM_24,OSM_48,EGF_1,EGF_4,EGF_8,EGF_24,EGF_48
209464_at,8.769124984741211,8.64840030670166,9.696499824523926,8.320300102233887,8.661999702453613,7.274899959564209,8.859000205993652,8.421249866485596,8.60575008392334,8.850799560546875,7.735199928283691,9.302549839019775,8.40500020980835,8.123600244522095,8.489100456237793,7.7617998123168945,8.709400177001953,8.671449661254883,7.967700004577637,8.661100149154663,7.470399856567383,8.759300231933594,8.386300086975098,8.124449729919434,8.382599830627441,7.732900142669678,8.451299667358398,8.354199886322021,8.246700048446655,8.923600196838379,7.486999988555908,8.718700408935547,9.030399799346924,7.974899768829346,8.518799781799316,7.574399948120117
203973_s_at,6.87720000743866,6.501699924468994,7.011350154876709,6.986199855804443,7.480899810791016,8.113699913024902,7.115499973297119,6.5540502071380615,6.291249990463257,6.937600135803223,7.3028998374938965,7.132800102233887,7.4631500244140625,7.245000123977661,8.093700408935547,8.182499885559082,6.678699970245361,6.675600051879883,7.022500038146973,6.384699821472168,6.23330020904541,6.7845001220703125,6.95989990234375,6.493299961090088,7.131999969482422,8.420999526977539,7.232499837875366,7.948800086975098,7.737849950790405,8.768699645996094,9.991900444030762,6.828700065612793,6.692649841308594,6.683700084686279,6.8993000984191895,7.376699924468994
211015_s_at,13.1181001663208,12.94159984588623,13.505199909210205,12.843999862670898,12.840200424194336,11.428999900817871,12.67140007019043,13.374800205230713,13.033249855041504,12.982399940490723,12.150899887084961,13.286199569702148,13.164949893951416,12.928699970245361,12.895899772644043,12.270600318908691,12.838299751281738,13.243250370025635,12.974699974060059,12.553600311279297,11.79259967803955,13.010299682617188,13.038700103759766,12.97914981842041,12.98289966583252,12.017800331115723,12.840849876403809,13.138599872589111,12.845099925994873,13.001500129699707,12.01550006866455,12.818400382995605,13.24685001373291,12.974699974060059,13.11340045928955,12.150899887084961
215903_s_at,7.587875008583069,7.558199882507324,7.489849805831909,7.308499813079834,7.317599773406982,6.881199836730957,7.41379976272583,7.240200042724609,7.243800163269043,7.22599983215332,6.912399768829346,7.484099864959717,7.236950159072876,7.288049936294556,7.137599945068359,6.829599857330322,7.44379997253418,7.357599973678589,7.410399913787842,7.563149690628052,6.991499900817871,7.632400035858154,7.543799877166748,7.273249864578247,7.280200004577637,6.6244001388549805,7.497900009155273,7.172699928283691,7.27839994430542,7.210000038146973,6.3180999755859375,7.552299976348877,7.400449991226196,7.402100086212158,7.2982001304626465,6.881999969482422
218547_at,8.601025104522705,8.368599891662598,8.522600173950195,8.437100410461426,8.324299812316895,8.21969985961914,8.416500091552734,8.621099948883057,8.602299690246582,8.4350004196167,7.922599792480469,8.645600318908691,8.465849876403809,8.45989990234375,8.277299880981445,7.782700061798096,8.539899826049805,8.432400226593018,8.79010009765625,9.26039981842041,8.661600112915039,8.735099792480469,8.88640022277832,8.476649761199951,8.004599571228027,7.830699920654297,8.525449752807617,8.550149917602539,8.224549770355225,8.274100303649902,7.670899868011475,8.507399559020996,8.666850090026855,8.519800186157227,8.281299591064453,7.684199810028076
201292_at,13.885724782943726,13.718199729919434,13.2989501953125,12.983599662780762,12.866700172424316,9.401599884033203,13.739800453186035,12.98360013961792,12.78819990158081,12.720800399780273,12.615400314331055,13.463950157165527,12.93274974822998,12.485949993133545,12.485699653625488,12.300200462341309,13.44219970703125,13.107399940490723,12.887399673461914,11.594599723815918,12.138099670410156,13.540900230407715,14.086099624633789,13.240700244903564,13.269700050354004,12.81879997253418,13.66254997253418,13.777549743652344,13.187549591064453,13.453700065612793,12.941399574279785,13.718199729919434,13.124499797821045,12.578200340270996,13.242400169372559,12.695099830627441
209304_x_at,7.5242249965667725,8.003000259399414,7.335350036621094,8.16189956665039,8.11400032043457,8.196599960327148,8.543600082397461,7.092400074005127,8.394049644470215,7.584099769592285,6.9319000244140625,7.783999919891357,7.278200149536133,8.175100326538086,7.142899990081787,7.293099880218506,9.089400291442871,7.298650026321411,8.836000442504883,7.820199966430664,7.478799819946289,7.779900074005127,7.251699924468994,7.71560001373291,7.243599891662598,7.666999816894531,9.91569995880127,7.605149984359741,8.859300136566162,7.920499801635742,8.240099906921387,7.689700126647949,7.137850046157837,7.729899883270264,7.480899810791016,6.755099773406982
203315_at,7.68369996547699,7.676000118255615,7.547900199890137,7.881199836730957,7.303100109100342,7.6132001876831055,7.399199962615967,7.685149908065796,7.662750005722046,7.838799953460693,7.495100021362305,7.433599948883057,7.66189980506897,7.797449827194214,7.500199794769287,6.869900226593018,7.616700172424316,7.99114990234375,8.690699577331543,8.437100410461426,8.481900215148926,7.103799819946289,7.666299819946289,7.932100057601929,7.593900203704834,6.8383002281188965,7.858200311660767,7.922799825668335,7.5535500049591064,7.314199924468994,7.049499988555908,7.706299781799316,7.8003997802734375,8.128800392150879,7.435699939727783,7.030200004577637
204092_s_at,8.406500101089478,8.424500465393066,8.02970004081726,8.04170036315918,7.266600131988525,5.219099998474121,8.38129997253418,8.004050016403198,7.577199935913086,7.751299858093262,7.592700004577637,8.195599555969238,8.23075008392334,7.752399921417236,7.70359992980957,7.539100170135498,8.315999984741211,8.250200271606445,7.5960001945495605,6.679800033569336,7.376699924468994,7.924200057983398,8.335399627685547,8.0100998878479,8.19849967956543,7.469299793243408,8.475600242614746,8.57040023803711,7.757849931716919,7.817599773406982,6.7631001472473145,8.432600021362305,7.789450168609619,7.9857001304626465,8.061100006103516,8.099900245666504
203288_at,6.133299946784973,6.257500171661377,5.972750186920166,6.5346999168396,5.9390997886657715,6.2347002029418945,6.4868998527526855,6.097450017929077,6.083549976348877,6.252299785614014,6.1894001960754395,6.212699890136719,5.976599931716919,6.148499965667725,5.88640022277832,5.554599761962891,6.292200088500977,5.890599966049194,6.483500003814697,6.038899898529053,5.926000118255615,6.029799938201904,6.023099899291992,6.09060001373291,6.128200054168701,5.9375,6.35290002822876,5.895500183105469,5.914750099182129,6.07390022277832,5.761000156402588,6.224599838256836,5.947900056838989,6.351600170135498,6.195899963378906,5.905700206756592
203188_at,5.519525051116943,5.44789981842041,5.5548999309539795,6.210599899291992,6.004300117492676,6.201600074768066,5.354000091552734,5.195950031280518,5.30935001373291,5.1722002029418945,6.179500102996826,5.0782999992370605,5.34850001335144,5.417799949645996,5.581099987030029,6.361700057983398,5.34060001373291,5.512250185012817,5.458399772644043,5.300899982452393,6.13700008392334,5.354000091552734,6.126299858093262,5.837249994277954,5.915900230407715,6.681600093841553,5.354000091552734,5.481349945068359,5.855649948120117,5.759500026702881,6.516600131988525,5.419099807739258,5.060050010681152,5.564499855041504,5.531599998474121,6.5457000732421875
203303_at,9.339100122451782,9.571999549865723,9.213449954986572,9.492400169372559,8.976200103759766,9.926400184631348,9.654399871826172,9.31279993057251,8.913599967956543,9.38700008392334,9.913000106811523,9.326700210571289,9.64454984664917,9.691149711608887,9.276700019836426,9.0839996337890625,9.506099700927734,9.562449932098389,9.795999526977539,9.912099838256836,10.266200065612793,9.276200294494629,9.246399879455566,9.338550090789795,9.130499839782715,9.363100051879883,9.771199703216553,9.651950359344482,8.874000072479248,8.26140022277832,8.931300163269043,9.588600158691406,9.046350002288818,9.662400245666504,8.749899864196777,9.147899627685547
