,ctrl_0,PBS_24,PBS_48,BMP2_24,BMP2_48,IFNg_24,IFNg_48,TGFb_24,TGFb_48,HGF_24,HGF_48,OSM_24,OSM_48,EGF_24,EGF_48
P11_I4_M2,-0.8474676064545448,-0.4863455386926891,-0.5154067837831272,-0.6276908779697642,-0.04184299463121686,2.7162159970154685,0.14025752129763228,-0.6626525134949383,-0.6145554723734726,-0.644442358384468,-0.7858590037141748,-0.34072704367066103,2.7893661438123836,-0.42521946449003184,-0.37017166852886
P11_I4_M3,-0.47877594474334956,-0.35106415337162566,-0.5225516176056366,-0.4749698381842959,0.05874743459486981,-0.40549436899638713,-0.5095615306210308,3.2474568255016676,-0.4484140544350419,-0.7433241151106746,-0.5780406130616014,-0.5808425845926166,-0.5337312499046214,2.255837110448732,-0.507775974699388
P11_I4_M4,-0.5320353748731159,2.345739980165399,0.4756154840698298,3.3768823956348197,0.1968300974441964,-0.813255453855225,-0.49828678554026695,-0.5344994926917143,-0.5519997085430136,-0.8296187374998046,-0.3949227493853425,-0.6879786704064489,-0.6585134600019824,-0.5514707702728925,-0.39656817902214897
P11_I4_M5,1.615998372593449,-0.6744310833688804,-0.4699251346378968,3.0816272322364386,0.8190356089761428,-0.3039957397826407,-1.0977355232883501,0.170371195710437,-1.058373583043935,-1.0344013853025322,-0.7729991936119887,1.289435497575126,-0.8719943739071653,1.3182679225972875,-0.5629947986752932
P12_I4_M1,1.1044628184527774,-1.040716766442724,-0.5108935525287325,0.1669302692739188,0.5506755602138136,-0.9548512856423879,-2.5958347374550526,0.5085020899512951,0.47536044073235356,0.7683548435399934,0.6002315027582243,0.32019786000997386,0.11376131785776028,0.7037474416885955,2.0714307054293837
P12_I4_M2,0.23785726293085338,0.925092864632272,1.3154102077940126,-1.701908679530605,-1.0937357889539505,-0.8367031623300833,-0.6315880861612807,-1.0077224828105147,-0.8996671180087737,1.028090138370489,1.1300132400529421,-0.5447946125133689,-0.7301637076629099,0.9704633286613326,2.5477032383191562
P12_I4_M3,-0.6403099410800616,-0.5623264048385197,-0.2894493681395262,0.15342601048218674,2.4630254517881682,-0.5351644789063137,-0.38713315717561025,-0.5755310115305278,-0.2575258849891536,-0.6787291135190011,-0.8683971445711602,-0.2846190799711853,3.302291529617123,-0.42639273142690637,-0.44373840955860444
P12_I4_M4,-0.016651406477918216,0.9112957793817097,1.2579860275531949,2.3641257342509956,2.012300423338603,-1.2189900336692916,-0.4312310739246177,-1.3106474889295396,-1.3465101996708886,0.5645980875849764,0.7457778640886237,-1.0605901197419119,-0.36095899458889896,-0.5489515693093535,-0.756071907063832
P12_I4_M5,0.7437109176652467,-1.196761931933108,-0.6887916708457186,1.2797811119979678,-0.2554840063246322,2.5455303356504158,0.7478967006732219,-0.25965097999023695,-1.292979346271788,-0.6703135910565529,-1.5434287600989753,1.1513701631936275,-0.39711596539086563,0.6957102938660992,-0.8092264311423624
P12_I4_M6,1.0824204490567884,1.2296044909046302,1.4391688962828042,-1.0944501852964748,-0.9368894306091647,-0.5093410594384872,2.065427682091968,-0.8273492050280569,-0.41660522137171957,-1.2702700900039239,-0.18986292319038164,-0.9537936745042866,-0.006957766276118411,-0.7845859298573741,-0.30237817747911144
